Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,01-01-21,R-01-01-21
1,,Attended,10,Attended,8,Attended,5,Attended,7,Attended,8,Attended,10,Attended,10,Missed,6,,
2,,Attended,7,Attended,9,Attended,6,Attended,10,Attended,9,Attended,10,Attended,8,Attended,6,,
3,STUDENT,Missed,8,Missed,5,Missed,5,Missed,8,Missed,9,Missed,7,Missed,7,Missed,6,,
4,,Attended,8,Attended,5,Attended,9,Attended,5,Missed,8,Missed,10,Attended,10,Attended,6,,
5,WORKING,Attended,8,Attended,9,Attended,6,Missed,7,Missed,8,Missed,9,Missed,7,Missed,6,,
6,WORKING,Missed,8,Missed,5,Missed,6,Missed,5,Missed,5,Missed,9,Missed,10,Missed,5,,
7,,Missed,8,Missed,6,Missed,6,Missed,6,Missed,9,Missed,9,Missed,10,Missed,5,,
8,WORKING,Attended,10,Attended,10,Attended,10,Attended,8,Missed,8,Attended,8,Missed,5,Attended,7,,
9,STUDENT,Attended,6,Attended,6,Attended,10,Attended,9,Attended,6,Attended,5,Attended,9,Attended,10,,
10,STUDENT,Attended,7,Attended,9,Attended,8,Attended,6,Attended,6,Missed,6,Missed,10,Attended,6,,
11,WORKING,Attended,9,Attended,9,Attended,8,Missed,7,Attended,5,Attended,5,Attended,6,Attended,8,,
12,STUDENT,Attended,5,Attended,10,Attended,6,Attended,7,Attended,9,Attended,8,Attended,6,Attended,7,,
13,WORKING,Missed,10,Missed,10,Missed,5,Missed,6,Attended,6,Attended,10,Attended,9,Attended,5,,
14,IGNORE,Missed,8,Missed,9,Missed,9,Missed,9,Missed,10,Missed,8,Attended,10,,10,,
15,WORKING,Attended,9,Attended,10,Attended,10,Attended,10,Attended,9,Missed,6,Attended,10,Attended,7,,
16,,Missed,6,Missed,7,Missed,9,Missed,7,Missed,7,Attended,5,Missed,10,Attended,6,,
17,,Attended,7,Attended,9,Attended,5,Attended,5,Attended,9,Attended,5,Attended,9,Attended,9,,
18,,Attended,5,Attended,10,Missed,10,Attended,5,Attended,8,Attended,10,Attended,6,Attended,7,,
19,DROPOUT,Missed,9,Missed,6,Missed,8,Missed,8,Missed,7,Missed,5,Missed,5,Missed,6,,
20,,Attended,6,Missed,7,Attended,10,Attended,5,Missed,8,Attended,10,Attended,7,Attended,9,,
21,STUDENT,Missed,7,Missed,9,Missed,8,Missed,8,Missed,7,Missed,6,Missed,8,Missed,6,,
